roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	The annual Macy’s Thanksgiving Day Parade in New York City is known for its colorful balloons. **Which titular character** from a 2017 film is the subject of this Macy's Parade balloon? This *lead(er)* character uses a formula for his intelligence and speaking ability.   	https://i.imgur.com/HKhRsMg.jpg 	The **Boss Baby**
Round 1 Player 1	Question 2	**Which country** served as Hergé's primary inspiration for the fictional nation of Khemed in the Land of Black Gold and The Red Sea Sharks? Khemed's flag (visual) is reminiscent of the national flag of this country - black, white, and green bands that are connected by a red chevron (with a white star) representing the royal family that has ruled this country since 1921.	https://i.imgur.com/29RLogY.png	**Jordan** <br> <img src='https://i.imgur.com/1QRDqo0.png' height='400px'>
Round 1 Player 2	Question 1	Taking advantage of the lack of understanding of the Mesoamerican kingdoms, **what forged spooky objects** made of a hard transparent material started flooding the antiquities market in the late 19th century? These forgeries don’t tie up with any archaeological evidence from the Pre-Columbian cultures, but their legend endures to day, forming the central plot point of a 2008 film.	https://i.imgur.com/cFHxyk3.png	**Crystal Skull** (Prompt: Crystal Skeleton etc.) While the Aztecs widely used the skull motif, there are no other artefacts made of crystal found in the region. These crystal skulls were mostly forged by the notorious antiquarian Eugene Boban.
Round 1 Player 2	Question 2	Deepa Unnikrishnan gained credibility as one of the first women rappers in the Mumbai hip-hop scene, featuring in the film Gully Boy. **What stage name** did she choose for herself, paying tribute to Darryl McDaniels and his eponymous group of musical pioneers?		**Dee MC** (Accept: **DMC**, as it is a homophone)
Round 1 Player 3	Question 1	A contronym, often called a Janus word or auto-antonym, is a word that has opposite or contradictory meanings depending on the context. **Which 9-letter contronymnous noun** can mean EITHER an accidental omission or error OR close scrutiny and control?		**Oversight**
Round 1 Player 3	Question 2	Fons Americanus is a 13-metre tall sculpture by Kara Walker exhibited at the Tate’s Turbine Hall. **Which monument to a person**, located at the end of the Mall in London and sharing its name and concept with a similar landmark in India, inspired it? 	https://i.imgur.com/5WvRHzR.jpg	**Victoria Memorial** in London  <br> <img src='https://i.imgur.com/nefum90.jpg' height='400px'>
Round 1 Player 4	Question 1	In many traumatic conditions of the head, blood seeps into the soft tissue around the eyes. **Which group of mostly nocturnal mammals** from the genus Procyon is this appearance named after? 	https://i.imgur.com/yAhLXKB.jpg	**Raccoon** Eye Sign <br> <img src='https://i.imgur.com/w9d4azA.png' height='400px'>
Round 1 Player 4	Question 2	Children's Games is a 1560 painting by Pieter Bruegel the Elder featuring close to 80 games. **Which game** are the children playing in this section? This variant of tag is played in a spacious area, in which one player, designated as "It", has their *eyes covered* and gropes around attempting to touch the other players without being able to see them, while the other players scatter and try to avoid the person who is "It".	https://i.imgur.com/Lx80nR4.jpg	 **Blind Man's Bluff** or **Blind Man's Buff**
Round 2 Player 1	Question 1	A recent application of artificial intelligence is generating images from text prompts. One popular engine that does this was developed by Boris Dayma and Pedro Cuenca, members of the DALL-E team. **Identify the name of the engine**, a homophone of a popular implement (commonly in stick form) used for drawing and colouring. It adds one letter to the original word to indicate its use of AI.		**CrAIyon** (Accept: **Crayon**) <br> <img src='https://i.imgur.com/YxbJ6n4.png' height='400px'>
Round 2 Player 1	Question 2	**What term** is used to refer to the style of dress that clings to the body via a strap around the neck, leaving the shoulders bare? Its name has been rather unflatteringly borrowed from a network of straps around a horse's head that helps in control and domestication.	https://i.imgur.com/bmnt6Sl.jpg	**Halterneck** (Accept: **Halter**)
Round 2 Player 2	Question 1	The Soup Nazi, a character from the TV series Seinfeld, runs a stand with a diverse menu. **Which soup**, a stew containing meat, tomatoes and often pinto beans or kidney beans, does George Costanza order here? This *spicy* stew takes its name from a key ingredient that gives it a *hot* profile.	https://i.imgur.com/NTgYYov.jpg	**Chili** (Accept: **Chilli con Carne** or **Turkey Chili**, which is what George orders.)
Round 2 Player 2	Question 2	**Which character** that appeared in a series of six books between 1902 and 1912 inspired this Macy's Parade balloon? This character was the subject of a 2018 film and its 2021 sequel, with James Corden voicing the titular character.	https://i.imgur.com/9FqjQy7.jpg	**Peter Rabbit**
Round 2 Player 3	Question 1	**Which country** served as Hergé's primary inspiration for the 'Kingdom of the *Black* Pelican' - Syldavia? The nickname is fitting considering Lake Skadar, at the border of this country and Albania, is the largest resort of pelicans in Europe. Fans of the series have also found illustrations in King Ottokar's Sceptre to resemble towns in the Bay of Kotor.		**Montenegro**
Round 2 Player 3	Question 2	Red or Purple rash on the face, typically seen in Systemic Lupus Erythematosus, is named for its resemblance to the shape of a _________ (9). **Which creature** (9) is it named after? 	https://i.imgur.com/KvbbHFJ.jpg	**Butterfly** Rash <br> <img src='https://i.imgur.com/oBdyOZZ.jpg' height='400px'>
Round 2 Player 4	Question 1	**What nickname** (7/8) was given to a Special Investigations Unit established in 1971 allegedly based on a comment made by the mother of one of its early members David Young? His mother on learning that the unit worked on *stopping leaks* in the White House is said to have remarked that his grandfather, who had been a _______ (7), would've been proud of him.		White House **Plumbers**
Round 2 Player 4	Question 2	Sandy Powell is a British costume designer who has been nominated for the Academy Award for Best Costume Design 15 times. **Which 2002 film**, loosely based on a 1927 book by Herbert Asbury, were these costume designs created for? It is set in the 19th century against the backdrop of the long-running Catholic–Protestant feud that led to violence in the titular city.	https://i.imgur.com/LOcbcRE.png	**Gangs of New York** <br> <img src='https://i.imgur.com/hKTQHjj.png' height='400px'>
Round 3 Player 1	Question 1	The Race of Champions (ROC) is an annual event that features drivers from different disciplines of motorsport. **Which Formula One driver** finished runner up at the 2022-2023 Race of Champions held in Sweden? This four-time world champion retired from the sport in 2022, after finishing a stint at Aston Martin.		Sebastian **Vettel**
Round 3 Player 1	Question 2	For Abhishek Bensla, hip-hop had always served as a source of *energy*. Taking inspiration from physics lessons at school, he accordingly came up with a stage name - which also fell in line with a common naming convention in the field. **What name**?		**MC SQUARE** (Prompt: E = MC Squared) 
Round 3 Player 2	Question 1	In the centre of this section of Children's Games, we see children vault over each other's stooped backs. **Which game** is this? Typically, the first participant rests their hands on knees and stoops over, while the next vaults over by straddling legs wide apart on each side. The game is named after these *vaults*, which is reminiscent of an animal's movement.	https://i.imgur.com/1a5Dc99.png	**Leapfrog** (DON'T Prompt: Frog Jump)
Round 3 Player 2	Question 2	**What derisive nickname** (5) was given to the *Committee for the Re-Election of the President* established in late 1970 or early 1971? The _____ (5), as referred to by Nixon's opponents, used $500,000 in funds raised to re-elect Nixon to pay legal expenses for the five Watergate burglars, *inching him closer* to exoneration.		**CREEP**, from Committee for the Re-election of the President.
Round 3 Player 3	Question 1	**Which video game developer**, named after the kind of storm raging here, used to put up this 404 page, dispatching a murloc from World of Warcraft to rescue you?	https://i.imgur.com/ATIPw39.jpg	**Blizzard**
Round 3 Player 3	Question 2	**Identify this fake early hominid** created by Charles Dawson in the early 20th century to claim that he’d found the missing link between apes and humans. He combined the fossilised remains of an orangutan jaw and the cranium of a fully developed but small-brained, modern human. Named after the location of the “discovery” in East Sussex, it took 41 years to disclose this fraud.	https://i.imgur.com/qtzoc3u.png	**Piltdown Man** Dawson claimed this found fossil dates back to 500,000 BCE. This fake finding resulted in a huge spurt in the funding and focus around research in human evolution.
Round 3 Player 4	Question 1	**Which group of titular figures** of a 1963 book served as the inspiration for this Macy’s Parade balloon? As per a 2009 film adaptation, there are seven of them residing on an island and take a kid on an adventure. 	https://i.imgur.com/aquEMGU.jpg	**Wild Things**; the book is Maurice Sendak’s Where The Wild Things Are
Round 3 Player 4	Question 2	This type of challenge–response test was invented in 1997 to determine whether a computer user is human. Using human responses, these were also used in the 2010s to digitise the entire The New York Times archive and to build the Google Books library. **What are these tests called** which are technically reverse Turing Tests since a machine administers them to a human?		**CAPTCHA** or **ReCAPTCHA**
